region_code, weather_param, year, key, value
UK, Tmax, 1910, JAN, 5.4
UK, Tmax, 1910, FEB, 6.8
UK, Tmax, 1910, MAR, 9.1
UK, Tmax, 1910, APR, 9.8
UK, Tmax, 1910, MAY, 14.4
UK, Tmax, 1910, JUN, 17.7
UK, Tmax, 1910, JUL, 17.0
UK, Tmax, 1910, AUG, 17.7
UK, Tmax, 1910, SEP, 15.6
UK, Tmax, 1910, OCT, 12.8
UK, Tmax, 1910, NOV, 5.9
UK, Tmax, 1910, DEC, 7.7
UK, Tmax, 1910, WIN, N/A
UK, Tmax, 1910, SPR, 11.08
UK, Tmax, 1910, SUM, 17.48
UK, Tmax, 1910, AUT, 11.44
UK, Tmax, 1910, ANN, 11.68
UK, Tmax, 1911, JAN, 5.9
UK, Tmax, 1911, FEB, 6.8
UK, Tmax, 1911, MAR, 7.2
UK, Tmax, 1911, APR, 10.3
UK, Tmax, 1911, MAY, 16.4
UK, Tmax, 1911, JUN, 17.8
UK, Tmax, 1911, JUL, 21.4
UK, Tmax, 1911, AUG, 21.2
UK, Tmax, 1911, SEP, 17.3
UK, Tmax, 1911, OCT, 11.8
UK, Tmax, 1911, NOV, 7.8
UK, Tmax, 1911, DEC, 7.7
UK, Tmax, 1911, WIN, 6.79
UK, Tmax, 1911, SPR, 11.31
UK, Tmax, 1911, SUM, 20.19
UK, Tmax, 1911, AUT, 12.30
UK, Tmax, 1911, ANN, 12.68
UK, Tmax, 1912, JAN, 5.3
UK, Tmax, 1912, FEB, 7.0
UK, Tmax, 1912, MAR, 9.2
UK, Tmax, 1912, APR, 12.6
UK, Tmax, 1912, MAY, 14.8
UK, Tmax, 1912, JUN, 16.3
UK, Tmax, 1912, JUL, 18.4
UK, Tmax, 1912, AUG, 15.2
UK, Tmax, 1912, SEP, 13.9
UK, Tmax, 1912, OCT, 11.5
UK, Tmax, 1912, NOV, 8.0
UK, Tmax, 1912, DEC, 8.2
UK, Tmax, 1912, WIN, 6.66
UK, Tmax, 1912, SPR, 12.16
UK, Tmax, 1912, SUM, 16.66
UK, Tmax, 1912, AUT, 11.12
UK, Tmax, 1912, ANN, 11.72
UK, Tmax, 1913, JAN, 5.9
UK, Tmax, 1913, FEB, 7.0
UK, Tmax, 1913, MAR, 8.2
UK, Tmax, 1913, APR, 10.5
UK, Tmax, 1913, MAY, 14.3
UK, Tmax, 1913, JUN, 17.1
UK, Tmax, 1913, JUL, 17.6
UK, Tmax, 1913, AUG, 18.6
UK, Tmax, 1913, SEP, 16.5
UK, Tmax, 1913, OCT, 13.2
UK, Tmax, 1913, NOV, 10.2
UK, Tmax, 1913, DEC, 6.6
UK, Tmax, 1913, WIN, 7.04
UK, Tmax, 1913, SPR, 11.01
UK, Tmax, 1913, SUM, 17.79
UK, Tmax, 1913, AUT, 13.33
UK, Tmax, 1913, ANN, 12.18
UK, Tmax, 1914, JAN, 5.4
UK, Tmax, 1914, FEB, 8.6
UK, Tmax, 1914, MAR, 8.2
UK, Tmax, 1914, APR, 13.5
UK, Tmax, 1914, MAY, 13.8
UK, Tmax, 1914, JUN, 17.9
UK, Tmax, 1914, JUL, 18.8
UK, Tmax, 1914, AUG, 19.3
UK, Tmax, 1914, SEP, 16.8
UK, Tmax, 1914, OCT, 12.9
UK, Tmax, 1914, NOV, 8.9
UK, Tmax, 1914, DEC, 6.1
UK, Tmax, 1914, WIN, 6.81
UK, Tmax, 1914, SPR, 11.82
UK, Tmax, 1914, SUM, 18.68
UK, Tmax, 1914, AUT, 12.84
UK, Tmax, 1914, ANN, 12.52
UK, Tmax, 1915, JAN, 5.3
UK, Tmax, 1915, FEB, 6.1
UK, Tmax, 1915, MAR, 7.7
UK, Tmax, 1915, APR, 11.0
UK, Tmax, 1915, MAY, 14.3
UK, Tmax, 1915, JUN, 18.0
UK, Tmax, 1915, JUL, 17.5
UK, Tmax, 1915, AUG, 18.1
UK, Tmax, 1915, SEP, 16.6
UK, Tmax, 1915, OCT, 11.9
UK, Tmax, 1915, NOV, 5.8
UK, Tmax, 1915, DEC, 6.5
UK, Tmax, 1915, WIN, 5.83
UK, Tmax, 1915, SPR, 11.00
UK, Tmax, 1915, SUM, 17.85
UK, Tmax, 1915, AUT, 11.42
UK, Tmax, 1915, ANN, 11.59
UK, Tmax, 1916, JAN, 9.0
UK, Tmax, 1916, FEB, 5.5
UK, Tmax, 1916, MAR, 5.1
UK, Tmax, 1916, APR, 11.3
UK, Tmax, 1916, MAY, 14.3
UK, Tmax, 1916, JUN, 14.6
UK, Tmax, 1916, JUL, 18.1
UK, Tmax, 1916, AUG, 19.3
UK, Tmax, 1916, SEP, 15.7
UK, Tmax, 1916, OCT, 12.6
UK, Tmax, 1916, NOV, 8.8
UK, Tmax, 1916, DEC, 4.6
UK, Tmax, 1916, WIN, 7.04
UK, Tmax, 1916, SPR, 10.26
UK, Tmax, 1916, SUM, 17.37
UK, Tmax, 1916, AUT, 12.37
UK, Tmax, 1916, ANN, 11.61
UK, Tmax, 1917, JAN, 2.9
UK, Tmax, 1917, FEB, 4.0
UK, Tmax, 1917, MAR, 5.8
UK, Tmax, 1917, APR, 8.3
UK, Tmax, 1917, MAY, 15.7
UK, Tmax, 1917, JUN, 18.0
